Popis,XPath,Povinnost,Původ,Verzování,Násobnost,Název fieldu indexu,Typ fieldu indexu,Child
Root,/METS:mets/@LABEL,povinné,přebírá se,neverzuje se,1,label,folding,
Root,/METS:mets/@TYPE,povinné,přebírá se,neverzuje se,1,type,lowercase,
Root,/METS:mets/@OBJID,povinné,generuje ARCLib,neverzuje se,1,sip_id,string,
Hlavička,/METS:mets/METS:metsHdr/@CREATEDATE,povinné,generuje ARCLib,neverzuje se,1,created,datetime,
Hlavička,/METS:mets/METS:metsHdr/@LASTMODDATE,povinné,generuje ARCLib,neverzuje se,1,updated,datetime,
Hlavička,/METS:mets/METS:metsHdr/@ID,povinné,generuje ARCLib,neverzuje se,1,id,string,
Hlavička,/METS:mets/METS:metsHdr/METS:altRecordID[@TYPE='original SIP identifier'],povinné,generuje ARCLib,neverzuje se,1,authorial_id,string,
Hlavička,/METS:mets/METS:metsHdr/METS:agent,povinné,přebírá se,neverzuje se,N,,,
Agent,/METS:mets/METS:metsHdr/METS:agent/@ROLE,povinné,přebírá se,neverzuje se,1,,,
Agent,/METS:mets/METS:metsHdr/METS:agent/@TYPE,povinné,přebírá se,neverzuje se,1,,,
Agent,/METS:mets/METS:metsHdr/METS:agent/METS:name,povinné,přebírá se,neverzuje se,1,,,
Popisná metadata - generický Dublin Core,/METS:mets/METS:dmdSec/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc,povinné,přebírá se,neverzuje se,N,dublin_core,texts,
Poradové číslo SIP verze,/METS:mets/METS:dmdSec/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/dcterms:sipVersionNumber,povinné,generuje ARCLib,neverzuje se,1,sip_version_number,int,
Vazba mezi SIP verzemi,/METS:mets/METS:dmdSec/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/dcterms:sipVersionOf,povinné,generuje ARCLib,neverzuje se,1,sip_version_of,string,
Poradové číslo XML verze,/METS:mets/METS:dmdSec/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/dcterms:xmlVersionNumber,povinné,generuje ARCLib,neverzuje se,1,xml_version_number,int,
