Description (DOC – this column is for documentation purpose only),Xpath (SYS – values of this column are parsed and used by the system),Must be present (DOC),Data source (SYS),Check existence (SYS),Multiplicity (SYS),Index field name (SYS),Element type (SYS),Index Child (SYS),Label (CZ),Label (EN)
Root,/METS:mets/@LABEL,FALSE,SIP profile XSLT,TRUE,1,label,other,,Označení,
Root,/METS:mets/@TYPE,FALSE,SIP profile XSLT,TRUE,1,type,other,,Typ,
Root - id of SIP package – UUID,/METS:mets/@OBJID,TRUE,system,TRUE,1,sip_id,other,,AIP ID,
Header - date and time of start of ingest workflow process,/METS:mets/METS:metsHdr/@CREATEDATE,TRUE,system,TRUE,1,created,datetime,,Vytvořeno,
Header - date and time of finish of ingest workflow process,/METS:mets/METS:metsHdr/@LASTMODDATE,TRUE,system,TRUE,1,updated,datetime,,Upraveno,
Header - XML ID; e.g. ARCLIB_000000004,/METS:mets/METS:metsHdr/@ID,TRUE,system,TRUE,1,id,other,,XML ID,
Header - authorial id,/METS:mets/METS:metsHdr/METS:altRecordID[@TYPE='original SIP identifier'],TRUE,SIP profile,TRUE,1,authorial_id,other,,Autorské ID,
Header,/METS:mets/METS:metsHdr/METS:agent,TRUE,SIP profile XSLT; system,TRUE,N,,,,,
Agent – 'CREATOR',/METS:mets/METS:metsHdr/METS:agent/@ROLE,TRUE,SIP profile XSLT; system,TRUE,1,,,,,
Agent – 'ORGANIZATION',/METS:mets/METS:metsHdr/METS:agent/@TYPE,TRUE,SIP profile XSLT; system,TRUE,1,,,,,
Agent - name of the producer,/METS:mets/METS:metsHdr/METS:agent/METS:name,TRUE,SIP profile XSLT; system,TRUE,1,,,,,
Descriptive metadata – Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc],FALSE,SIP profile XSLT,TRUE,N,,,dublin_core,Dublin core,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/@ID,FALSE,SIP profile XSLT,TRUE,1,dublin_core_id,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc,FALSE,SIP profile XSLT,TRUE,N,dublin_core_value,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:title,FALSE,SIP profile XSLT,FALSE,1,dublin_core_title,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:creator,FALSE,SIP profile XSLT,FALSE,1,dublin_core_creator,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:subject,FALSE,SIP profile XSLT,FALSE,1,dublin_core_subject,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:description,FALSE,SIP profile XSLT,FALSE,1,dublin_core_description,other,dublin_core,,
