Description (DOC – this column is for documentation purpose only),Xpath (SYS – values of this column are parsed and used by the system),Data source (DOC),Multiplicity (SYS),Index field name (SYS),Element type (SYS),Index Parent (SYS),Label (CZ),Label (EN)
Root,/METS:mets/@LABEL,SIP profile XSLT,1,label,other,,Označení,
Root,/METS:mets/@TYPE,SIP profile XSLT,1,type,other,,Typ,
Root - id of SIP package – UUID,/METS:mets/@OBJID,system,1,sip_id,other,,AIP ID,
Header - date and time of start of ingest workflow process,/METS:mets/METS:metsHdr/@CREATEDATE,system,1,created,datetime,,Vytvořeno,
Header - date and time of finish of ingest workflow process,/METS:mets/METS:metsHdr/@LASTMODDATE,system,1,updated,datetime,,Upraveno,
Header - XML ID; e.g. ARCLIB_000000004,/METS:mets/METS:metsHdr/@ID,system,1,id,other,,XML ID,
Header - authorial id,/METS:mets/METS:metsHdr/METS:altRecordID[@TYPE='original SIP identifier'],SIP profile,1,authorial_id,other,,Autorské ID,
Descriptive metadata – Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc],SIP profile XSLT,N,,,dublin_core,Dublin core,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/@ID,SIP profile XSLT,1,dublin_core_id,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc,SIP profile XSLT,N,dublin_core_value,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:title,SIP profile XSLT,1,dublin_core_title,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:creator,SIP profile XSLT,1,dublin_core_creator,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:subject,SIP profile XSLT,1,dublin_core_subject,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:description,SIP profile XSLT,1,dublin_core_description,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:publisher,SIP profile XSLT,1,dublin_core_publisher,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:contributor,SIP profile XSLT,1,dublin_core_contributor,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:date,SIP profile XSLT,1,dublin_core_date,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:type,SIP profile XSLT,1,dublin_core_type,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:format,SIP profile XSLT,1,dublin_core_format,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:identifier,SIP profile XSLT,1,dublin_core_identifier,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:source,SIP profile XSLT,1,dublin_core_source,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:language,SIP profile XSLT,1,dublin_core_language,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:relation,SIP profile XSLT,1,dublin_core_relation,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:coverage,SIP profile XSLT,1,dublin_core_coverage,other,dublin_core,,
Descriptive metadata - Dublin Core,/METS:mets/METS:dmdSec[METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc]/METS:mdWrap[@MDTYPE='DC']/METS:xmlData/oai_dc:dc/dc:rights,SIP profile XSLT,1,dublin_core_rights,other,dublin_core,,
SIP version serial number,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:sipVersionNumber,system,1,sip_version_number,other,,Číslo verze SIP,
SIP versions link - ID of the previous version SIP,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:sipVersionOf,system,1,sip_version_of,other,,ID předchozí verze SIP,
XML version serial number,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:xmlVersionNumber,system,1,xml_version_number,other,,Číslo XML verze,
XML versions link - ID of the previous version XML,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:xmlVersionOf,system,1,xml_version_of,other,,ID předchozí verze XML,
Used producer profile,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:producerProfile,system,1,producer_profile,other,,Externí ID profilu dodavatele,
Used SIP profile,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:sipProfile,system,1,sip_profile,other,,Externí ID SIP profilu,
Used Validation profile,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:validationProfile,system,1,validation_profile,other,,Externí ID validačního profilu,
Used Workflow definition,/METS:mets/METS:amdSec/mets:digiprovMD[@ID='ARCLIB_SIP_INFO']/METS:mdWrap/METS:xmlData/ARCLib:sipInfo/ARCLib:ingestProfiles/ARCLib:workflowDefinition,system,1,workflow_definition,other,,Externí ID definice workflow,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format,SIP profile XSLT,N,,,extracted_format,,
Agregated techMD – extracted,/METS:mets/METS:amdSec/METS:techMD/METS:mdWrap[@MDTYPE='OTHER']/METS:xmlData/ARCLib:formats/ARCLib:format/ARCLib:fileFormat,SIP profile XSLT,1,extracted_format_file_format,other,extracted_format,,
